Time,Message
707059.9117498,"0.00
"
707059.9128422,"0.00
"
707059.9142305,"0.00
"
707059.9154808,"0.00
"
707059.9167381,"0.00
"
707059.9180297,"0.00
"
707059.9192349,"0.00
"
707059.9205168,"0.00
"
707059.9218109,"0.00
"
707059.9229657,"0.00
"
707059.9242698,"0.00
"
707059.9256065,"0.00
"
707059.9268734,"0.00
"
707059.9281684,"0.00
"
707059.9294302,"0.00
"
707059.9306711,"0.00
"
707059.9319637,"0.00
"
707059.9332301,"0.00
"
707059.9346118,"0.00
"
707059.9356985,"0.00
"
707059.9369314,"0.00
"
707059.9382013,"0.00
"
707059.939426,"0.00
"
707059.9406703,"0.00
"
707059.9420082,"0.00
"
707059.9433061,"0.00
"
707059.944652,"0.00
"
707059.945869,"0.00
"
707059.9473043,"0.00
"
707059.9483502,"0.00
"
707059.9498193,"0.00
"
707059.9512078,"0.00
"
707059.9520649,"0.00
"
707059.9537899,"0.00
"
707059.9547003,"0.00
"
707059.9558943,"0.00
"
707059.9574261,"0.00
"
707059.9587261,"0.00
"
707059.9599444,"0.00
"
707059.9612448,"0.00
"
707059.9625024,"0.00
"
707059.9638008,"0.00
"
707059.9649765,"0.00
"
707059.9662873,"0.00
"
707059.9673802,"0.00
"
707059.9686889,"0.00
"
707059.9699217,"0.00
"
707059.9710831,"0.00
"
707059.9723498,"0.00
"
707059.9736422,"0.00
"
707059.9749068,"0.00
"
707059.9761386,"0.00
"
707059.9775016,"0.00
"
707059.9788077,"0.00
"
707059.9802322,"0.00
"
707059.9815289,"0.00
"
707059.9827315,"0.00
"
707059.9840045,"0.00
"
707059.9853092,"0.00
"
707059.9864076,"0.00
"
707059.9876671,"0.00
"
707059.988929,"0.00
"
707059.9903739,"0.00
"
707059.9914885,"0.00
"
707059.9929369,"0.00
"
707059.9942016,"0.00
"
707059.9954675,"0.00
"
707059.9967173,"0.00
"
707059.9979196,"0.00
"
707059.9991674,"0.00
"
707060.0002648,"0.00
"
707060.001695,"0.00
"
707060.0028853,"0.00
"
707060.0040417,"0.00
"
707060.0053375,"0.00
"
707060.0065984,"0.00
"
707060.0078707,"0.00
"
707060.0091044,"0.00
"
707060.0103717,"0.00
"
707060.0116415,"0.00
"
707060.0129199,"0.00
"
707060.014226,"0.00
"
707060.0154745,"0.00
"
707060.0168154,"0.00
"
707060.0180165,"0.00
"
707060.0192393,"0.00
"
707060.0205663,"0.00
"
707060.021785,"0.00
"
707060.0230088,"0.00
"
707060.0243165,"0.00
"
707060.0255927,"0.00
"
707060.0268388,"0.00
"
707060.0281007,"0.00
"
707060.0293678,"0.00
"
707060.0306569,"0.00
"
707060.0318953,"0.00
"
707060.0332196,"0.00
"
707060.0344771,"0.00
"
707060.0357858,"0.00
"
707060.0370444,"0.00
"
